"classe","region","nb_index","regiao_agrupada"
"Cruciform","Promotor",1993,"Promotor"
"Cruciform","Promotor",2000,"Promotor"
"Cruciform","Promotor",2017,"Promotor"
"Cruciform","Promotor",2026,"Promotor"
"Cruciform","Promotor",2037,"Promotor"
"Cruciform","Promotor",2043,"Promotor"
"Cruciform","Promotor",2044,"Promotor"
"Cruciform","Promotor",2055,"Promotor"
"Cruciform","Promotor",2056,"Promotor"
"Cruciform","Promotor",2063,"Promotor"
"Cruciform","Promotor",2089,"Promotor"
"Cruciform","Promotor",2090,"Promotor"
"Cruciform","Promotor",2141,"Promotor"
"Cruciform","Promotor",2151,"Promotor"
"Cruciform","Promotor",2155,"Promotor"
"Cruciform","Promotor",2177,"Promotor"
"Cruciform","Promotor",2181,"Promotor"
"Cruciform","Promotor",2181,"Promotor"
"Cruciform","Promotor",2199,"Promotor"
"Cruciform","Promotor",2201,"Promotor"
"Cruciform","Promotor",2201,"Promotor"
"Cruciform","Promotor",2201,"Promotor"
"Cruciform","Promotor",2201,"Promotor"
"Cruciform","Promotor",2202,"Promotor"
"Cruciform","Promotor",2202,"Promotor"
"Cruciform","Promotor",2213,"Promotor"
"Cruciform","Promotor",2255,"Promotor"
"Cruciform","Promotor",2265,"Promotor"
"Cruciform","Promotor",2266,"Promotor"
"Cruciform","Promotor",2275,"Promotor"
"Cruciform","Promotor",2279,"Promotor"
"Cruciform","Promotor",2287,"Promotor"
"Cruciform","Promotor",2294,"Promotor"
"Cruciform","Promotor",2298,"Promotor"
"Cruciform","Promotor",2304,"Promotor"
"Cruciform","Promotor",2305,"Promotor"
"Cruciform","Promotor",2320,"Promotor"
"Cruciform","Promotor",2321,"Promotor"
"Cruciform","Promotor",2331,"Promotor"
"Cruciform","Promotor",2350,"Promotor"
"Cruciform","Promotor",2351,"Promotor"
"Cruciform","Promotor",2350,"Promotor"
"Cruciform","Promotor",2351,"Promotor"
"Cruciform","Promotor",2350,"Promotor"
"Cruciform","Promotor",2351,"Promotor"
"Cruciform","Promotor",2350,"Promotor"
"Cruciform","Promotor",2351,"Promotor"
"Cruciform","Promotor",2351,"Promotor"
"Cruciform","Promotor",2352,"Promotor"
"Cruciform","Promotor",2365,"Promotor"
"Cruciform","Promotor",2365,"Promotor"
"Cruciform","Promotor",2365,"Promotor"
"Cruciform","Promotor",2376,"Promotor"
"Cruciform","Promotor",2377,"Promotor"
"Cruciform","Promotor",2381,"Promotor"
"Cruciform","Promotor",2380,"Promotor"
"Cruciform","Promotor",2385,"Promotor"
"Cruciform","Promotor",2386,"Promotor"
"Cruciform","Promotor",2399,"Promotor"
"Cruciform","Promotor",2408,"Promotor"
"Cruciform","Promotor",2447,"Promotor"
"Cruciform","Promotor",2469,"Promotor"
"Cruciform","Promotor",2469,"Promotor"
"Cruciform","Promotor",2480,"Promotor"
"Cruciform","Promotor",2485,"Promotor"
"Cruciform","Promotor",2485,"Promotor"
"Cruciform","Promotor",2486,"Promotor"
"Cruciform","Promotor",2487,"Promotor"
"Cruciform","Promotor",2485,"Promotor"
"Cruciform","Promotor",2486,"Promotor"
"Cruciform","Promotor",2487,"Promotor"
"Cruciform","Promotor",2494,"Promotor"
"Cruciform","Promotor",2496,"Promotor"
"Cruciform","Promotor",2497,"Promotor"
"Cruciform","Promotor",2507,"Promotor"
"Cruciform","Promotor",2508,"Promotor"
"Cruciform","Promotor",2532,"Promotor"
"Cruciform","Promotor",2550,"Promotor"
"Cruciform","Promotor",2551,"Promotor"
"Cruciform","Promotor",2548,"Promotor"
"Cruciform","Promotor",2549,"Promotor"
"Cruciform","Promotor",2562,"Promotor"
"Cruciform","Promotor",2563,"Promotor"
"Cruciform","Promotor",2569,"Promotor"
"Cruciform","Promotor",2572,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2593,"Promotor"
"Cruciform","Promotor",2596,"Promotor"
"Cruciform","Promotor",2600,"Promotor"
"Cruciform","Promotor",2611,"Promotor"
"Cruciform","Promotor",2616,"Promotor"
"Cruciform","Promotor",2617,"Promotor"
"Cruciform","Promotor",2618,"Promotor"
"Cruciform","Promotor",2625,"Promotor"
"Cruciform","Promotor",2630,"Promotor"
"Cruciform","Promotor",2641,"Promotor"
"Cruciform","Promotor",2661,"Promotor"
"Cruciform","Promotor",2664,"Promotor"
"Cruciform","Promotor",2686,"Promotor"
"Cruciform","Promotor",2707,"Promotor"
"Cruciform","Promotor",2712,"Promotor"
"Cruciform","Promotor",2713,"Promotor"
"Cruciform","Promotor",2725,"Promotor"
"Cruciform","Promotor",2742,"Promotor"
"Cruciform","Promotor",2746,"Promotor"
"Cruciform","Promotor",2755,"Promotor"
"Cruciform","Promotor",2758,"Promotor"
"Cruciform","Promotor",2764,"Promotor"
"Cruciform","Promotor",2765,"Promotor"
"Cruciform","Promotor",2775,"Promotor"
"Cruciform","Promotor",2777,"Promotor"
"Cruciform","Promotor",2781,"Promotor"
"Cruciform","Promotor",2781,"Promotor"
"Cruciform","Promotor",2790,"Promotor"
"Cruciform","Promotor",2791,"Promotor"
"Cruciform","Promotor",2797,"Promotor"
"Cruciform","Promotor",2804,"Promotor"
"Cruciform","Promotor",2808,"Promotor"
"Cruciform","Promotor",2821,"Promotor"
"Cruciform","Promotor",2822,"Promotor"
"Cruciform","Promotor",2876,"Promotor"
"Cruciform","Promotor",2875,"Promotor"
"Cruciform","Promotor",2876,"Promotor"
"Cruciform","Promotor",2884,"Promotor"
"Cruciform","Promotor",2888,"Promotor"
"Cruciform","Promotor",2889,"Promotor"
"Cruciform","Promotor",2892,"Promotor"
"Cruciform","Promotor",2893,"Promotor"
"Cruciform","Promotor",2896,"Promotor"
"Cruciform","Promotor",2903,"Promotor"
"Cruciform","Promotor",2914,"Promotor"
"Cruciform","Promotor",2925,"Promotor"
"Cruciform","Promotor",2934,"Promotor"
"Cruciform","Promotor",2935,"Promotor"
"Cruciform","Promotor",2943,"Promotor"
"Cruciform","Promotor",2945,"Promotor"
"Cruciform","Promotor",2949,"Promotor"
"Cruciform","Promotor",2955,"Promotor"
"Cruciform","Promotor",2956,"Promotor"
"Cruciform","Promotor",3163,"Promotor"
"Cruciform","Promotor",3165,"Promotor"
"Cruciform","Promotor",3171,"Promotor"
"Cruciform","Promotor",3175,"Promotor"
"Cruciform","Promotor",3177,"Promotor"
"Cruciform","Promotor",3184,"Promotor"
"Cruciform","Promotor",3183,"Promotor"
"Cruciform","Promotor",3204,"Promotor"
"Cruciform","Promotor",3208,"Promotor"
"Cruciform","Promotor",3246,"Promotor"
"Cruciform","Promotor",3251,"Promotor"
"Cruciform","Promotor",3262,"Promotor"
"Cruciform","Promotor",3263,"Promotor"
"Cruciform","Promotor",3264,"Promotor"
"Cruciform","Promotor",3264,"Promotor"
"Cruciform","Promotor",3298,"Promotor"
"Cruciform","Promotor",3304,"Promotor"
"Cruciform","Promotor",3307,"Promotor"
"Cruciform","Promotor",3361,"Promotor"
"Cruciform","Promotor",3384,"Promotor"
"Cruciform","Promotor",3385,"Promotor"
"Cruciform","Promotor",3420,"Promotor"
"Cruciform","Promotor",3421,"Promotor"
"Cruciform","Promotor",3451,"Promotor"
"Cruciform","Promotor",3471,"Promotor"
"Cruciform","Promotor",3477,"Promotor"
"Cruciform","Promotor",3487,"Promotor"
"Cruciform","Promotor",3511,"Promotor"
"Cruciform","Promotor",3517,"Promotor"
"Cruciform","Promotor",3518,"Promotor"
"Cruciform","Promotor",3518,"Promotor"
"Cruciform","Promotor",3521,"Promotor"
"Cruciform","Promotor",3521,"Promotor"
"Cruciform","Promotor",3540,"Promotor"
"Cruciform","Promotor",3540,"Promotor"
"Cruciform","Promotor",3550,"Promotor"
"Cruciform","Promotor",3549,"Promotor"
"Cruciform","Promotor",3555,"Promotor"
"Cruciform","Promotor",3561,"Promotor"
"Cruciform","Promotor",3562,"Promotor"
"Cruciform","Promotor",3569,"Promotor"
"Cruciform","Promotor",3570,"Promotor"
"Cruciform","Promotor",3570,"Promotor"
"Cruciform","Promotor",3579,"Promotor"
"Cruciform","Promotor",3592,"Promotor"
"Cruciform","Promotor",3593,"Promotor"
"Cruciform","Promotor",3592,"Promotor"
"Cruciform","Promotor",3603,"Promotor"
"Cruciform","Promotor",3604,"Promotor"
"Cruciform","Promotor",3622,"Promotor"
"Cruciform","Promotor",3627,"Promotor"
"Cruciform","Promotor",3632,"Promotor"
"Cruciform","Promotor",3651,"Promotor"
"Cruciform","Promotor",3685,"Promotor"
"Cruciform","Promotor",3686,"Promotor"
"Cruciform","Promotor",3708,"Promotor"
"Cruciform","Promotor",3725,"Promotor"
"Cruciform","Promotor",3726,"Promotor"
"Cruciform","Promotor",3736,"Promotor"
"Cruciform","Promotor",3735,"Promotor"
"Cruciform","Promotor",3736,"Promotor"
"Cruciform","Promotor",3741,"Promotor"
"Cruciform","Promotor",3742,"Promotor"
"Cruciform","Promotor",3744,"Promotor"
"Cruciform","Promotor",3744,"Promotor"
"Cruciform","Promotor",3750,"Promotor"
"Cruciform","Promotor",3758,"Promotor"
"Cruciform","Promotor",3759,"Promotor"
"Cruciform","Promotor",3757,"Promotor"
"Cruciform","Promotor",3763,"Promotor"
"Cruciform","Promotor",3762,"Promotor"
"Cruciform","Promotor",3765,"Promotor"
"Cruciform","Promotor",3777,"Promotor"
"Cruciform","Promotor",3794,"Promotor"
