"classe","region","nb_index"
"Cruciform","Promotor",1829
"Cruciform","Promotor",1841
"Cruciform","Promotor",1851
"Cruciform","Promotor",1870
"Cruciform","Promotor",1871
"Cruciform","Promotor",1884
"Cruciform","Promotor",1883
"Cruciform","Promotor",1884
"Cruciform","Promotor",1901
"Cruciform","Promotor",1901
"Cruciform","Promotor",1903
"Cruciform","Promotor",1904
"Cruciform","Promotor",1954
"Cruciform","Promotor",1954
"Cruciform","Promotor",1999
"Cruciform","Promotor",2021
"Cruciform","Promotor",2030
"Cruciform","Promotor",2031
"Cruciform","Promotor",2044
"Cruciform","Promotor",2047
"Cruciform","Promotor",2059
"Cruciform","Promotor",2063
"Cruciform","Promotor",2064
"Cruciform","Promotor",2114
"Cruciform","Promotor",2141
"Cruciform","Promotor",2140
"Cruciform","Promotor",2141
"Cruciform","Promotor",2160
"Cruciform","Promotor",2181
"Cruciform","Promotor",2182
"Cruciform","Promotor",2183
"Cruciform","Promotor",2184
"Cruciform","Promotor",2193
"Cruciform","Promotor",2194
"Cruciform","Promotor",2200
"Cruciform","Promotor",2260
"Cruciform","Promotor",2275
"Cruciform","Promotor",2276
"Cruciform","Promotor",2286
"Cruciform","Promotor",2287
"Cruciform","Promotor",2313
"Cruciform","Promotor",2313
"Cruciform","Promotor",2313
"Cruciform","Promotor",2344
"Cruciform","Promotor",2366
"Cruciform","Promotor",2369
"Cruciform","Promotor",2382
"Cruciform","Promotor",2388
"Cruciform","Promotor",2397
"Cruciform","Promotor",2397
"Cruciform","Promotor",2410
"Cruciform","Promotor",2411
"Cruciform","Promotor",2412
"Cruciform","Promotor",2416
"Cruciform","Promotor",2427
"Cruciform","Promotor",2427
"Cruciform","Promotor",2427
"Cruciform","Promotor",2429
"Cruciform","Promotor",2429
"Cruciform","Promotor",2437
"Cruciform","Promotor",2444
"Cruciform","Promotor",2445
"Cruciform","Promotor",2451
"Cruciform","Promotor",2459
"Cruciform","Promotor",2467
"Cruciform","Promotor",2485
"Cruciform","Promotor",2494
"Cruciform","Promotor",2506
"Cruciform","Promotor",2512
"Cruciform","Promotor",2513
"Cruciform","Promotor",2524
"Cruciform","Promotor",2525
"Cruciform","Promotor",2534
"Cruciform","Promotor",2570
"Cruciform","Promotor",2571
"Cruciform","Promotor",2627
"Cruciform","Promotor",2639
"Cruciform","Promotor",2646
"Cruciform","Promotor",2645
"Cruciform","Promotor",2652
"Cruciform","Promotor",2653
"Cruciform","Promotor",2677
"Cruciform","Promotor",2681
"Cruciform","Promotor",2681
"Cruciform","Promotor",2700
"Cruciform","Promotor",2702
"Cruciform","Promotor",2702
"Cruciform","Promotor",2702
"Cruciform","Promotor",2702
"Cruciform","Promotor",2703
"Cruciform","Promotor",2703
"Cruciform","Promotor",2715
"Cruciform","Promotor",2764
"Cruciform","Promotor",2775
"Cruciform","Promotor",2776
"Cruciform","Promotor",2787
"Cruciform","Promotor",2788
"Cruciform","Promotor",2792
"Cruciform","Promotor",2800
"Cruciform","Promotor",2807
"Cruciform","Promotor",2812
"Cruciform","Promotor",2813
"Cruciform","Promotor",2814
"Cruciform","Promotor",2825
"Cruciform","Promotor",2826
"Cruciform","Promotor",2844
"Cruciform","Promotor",2848
"Cruciform","Promotor",2849
"Cruciform","Promotor",2859
"Cruciform","Promotor",2880
"Cruciform","Promotor",2881
"Cruciform","Promotor",2880
"Cruciform","Promotor",2881
"Cruciform","Promotor",2880
"Cruciform","Promotor",2881
"Cruciform","Promotor",2880
"Cruciform","Promotor",2881
"Cruciform","Promotor",2881
"Cruciform","Promotor",2882
"Cruciform","Promotor",2900
"Cruciform","Promotor",2900
"Cruciform","Promotor",2900
"Cruciform","Promotor",2912
"Cruciform","Promotor",2913
"Cruciform","Promotor",2918
"Cruciform","Promotor",2917
"Cruciform","Promotor",2927
"Cruciform","Promotor",2928
"Cruciform","Promotor",2941
"Cruciform","Promotor",2952
"Cruciform","Promotor",3000
